FILE	CELL	AREA_cell	AREA_nuc	N_total	N_thres_Total	N_thres_Nuc
con63_ROOT6_GAPDH_CY3_6_1_ch2_outline.txt	Cell_CP_1	54948	54948	37	22	22
con63_ROOT6_GAPDH_CY3_6_1_ch2_outline.txt	Cell_CP_2	29042.5	29042.5	0	0	0
con63_ROOT6_GAPDH_CY3_6_1_ch2_outline.txt	Cell_CP_3	71523	71523	4	3	3
con63_ROOT6_GAPDH_CY3_6_1_ch2_outline.txt	Cell_CP_4	74144.5	74144.5	92	39	39
con63_ROOT6_GAPDH_CY3_6_1_ch2_outline.txt	Cell_CP_5	47906.5	47906.5	24	20	20
con63_ROOT6_GAPDH_CY3_6_1_ch2_outline.txt	Cell_CP_6	31373.5	31373.5	1	1	1
con63_ROOT6_GAPDH_CY3_6_1_ch2_outline.txt	Cell_CP_7	53286	53286	27	17	17
con63_ROOT6_GAPDH_CY3_6_1_ch2_outline.txt	Cell_CP_8	154086	154086	135	61	61
con63_ROOT6_GAPDH_CY3_6_1_ch2_outline.txt	Cell_CP_9	28248	28248	0	0	0
con63_ROOT6_GAPDH_CY3_6_1_ch2_outline.txt	Cell_CP_10	33300.5	33300.5	6	3	3
con63_ROOT6_GAPDH_CY3_6_1_ch2_outline.txt	Cell_CP_11	72116	72116	30	19	19
con63_ROOT6_GAPDH_CY3_6_1_ch2_outline.txt	Cell_CP_12	65239.5	65239.5	55	33	33
con63_ROOT6_GAPDH_CY3_6_1_ch2_outline.txt	Cell_CP_13	109188	109188	24	18	17
con63_ROOT6_GAPDH_CY3_6_1_ch2_outline.txt	Cell_CP_14	18514	18514	9	8	8
con63_ROOT6_GAPDH_CY3_6_1_ch2_outline.txt	Cell_CP_15	71547.5	71547.5	41	17	17
con63_ROOT6_GAPDH_CY3_6_1_ch2_outline.txt	Cell_CP_16	79585	79585	10	7	7
con63_ROOT6_GAPDH_CY3_6_1_ch2_outline.txt	Cell_CP_17	44773	44773	17	11	11
con63_ROOT6_GAPDH_CY3_6_1_ch2_outline.txt	Cell_CP_18	36636.5	36636.5	11	8	8
con63_ROOT6_GAPDH_CY3_6_1_ch2_outline.txt	Cell_CP_19	58951.5	58951.5	53	30	30
con63_ROOT6_GAPDH_CY3_6_1_ch2_outline.txt	Cell_CP_20	70492	70492	19	12	12
con63_ROOT6_GAPDH_CY3_6_1_ch2_outline.txt	Cell_CP_21	71524.5	71524.5	17	16	16
con63_ROOT6_GAPDH_CY3_6_1_ch2_outline.txt	Cell_CP_22	72044.5	72044.5	51	38	38
con63_ROOT6_GAPDH_CY3_6_1_ch2_outline.txt	Cell_CP_23	50848.5	50848.5	14	10	10
con63_ROOT6_GAPDH_CY3_6_1_ch2_outline.txt	Cell_CP_24	64977.5	64977.5	42	19	19
con63_ROOT6_GAPDH_CY3_6_1_ch2_outline.txt	Cell_CP_25	52442.5	52442.5	12	7	7
con63_ROOT6_GAPDH_CY3_6_1_ch2_outline.txt	Cell_CP_26	25422	25422	33	14	14
con63_ROOT6_GAPDH_CY3_6_1_ch2_outline.txt	Cell_CP_27	44872	44872	81	38	37
con63_ROOT6_GAPDH_CY3_6_1_ch2_outline.txt	Cell_CP_28	120211	120211	53	31	30
con63_ROOT6_GAPDH_CY3_6_1_ch2_outline.txt	Cell_CP_29	38530.5	38530.5	9	8	8
con63_ROOT6_GAPDH_CY3_6_1_ch2_outline.txt	Cell_CP_30	39306	39306	21	16	16
con63_ROOT6_GAPDH_CY3_6_1_ch2_outline.txt	Cell_CP_31	158050	158050	142	78	78
con63_ROOT6_GAPDH_CY3_6_1_ch2_outline.txt	Cell_CP_32	127798	127798	158	59	59
con63_ROOT6_GAPDH_CY3_6_1_ch2_outline.txt	Cell_CP_33	57905.5	57905.5	15	10	10
con63_ROOT6_GAPDH_CY3_6_1_ch2_outline.txt	Cell_CP_34	30908	30908	13	8	8
con63_ROOT6_GAPDH_CY3_6_1_ch2_outline.txt	Cell_CP_35	49176.5	49176.5	14	10	9
con63_ROOT6_GAPDH_CY3_6_1_ch2_outline.txt	Cell_CP_36	52175.5	52175.5	9	4	4
con63_ROOT6_GAPDH_CY3_6_1_ch2_outline.txt	Cell_CP_37	81604.5	81604.5	124	60	60
con63_ROOT6_GAPDH_CY3_6_1_ch2_outline.txt	Cell_CP_38	113956	113956	114	51	51
con63_ROOT6_GAPDH_CY3_6_1_ch2_outline.txt	Cell_CP_39	50085	50085	16	15	15
con63_ROOT6_GAPDH_CY3_6_1_ch2_outline.txt	Cell_CP_40	63449	63449	3	2	2
con63_ROOT6_GAPDH_CY3_6_1_ch2_outline.txt	Cell_CP_41	152412	152412	95	44	44
con63_ROOT6_GAPDH_CY3_6_1_ch2_outline.txt	Cell_CP_42	77119	77119	126	54	52
con63_ROOT6_GAPDH_CY3_6_1_ch2_outline.txt	Cell_CP_43	85325.5	85325.5	10	9	9
con63_ROOT6_GAPDH_CY3_6_1_ch2_outline.txt	Cell_CP_44	52767	52767	7	6	6
con63_ROOT6_GAPDH_CY3_6_1_ch2_outline.txt	Cell_CP_45	111988	111988	55	30	30
con63_ROOT6_GAPDH_CY3_6_1_ch2_outline.txt	Cell_CP_46	55293.5	55293.5	18	13	12
con63_ROOT6_GAPDH_CY3_6_1_ch2_outline.txt	Cell_CP_47	58422.5	58422.5	17	12	12
con63_ROOT6_GAPDH_CY3_6_1_ch2_outline.txt	Cell_CP_48	66231.5	66231.5	21	12	12
con63_ROOT6_GAPDH_CY3_6_1_ch2_outline.txt	Cell_CP_49	50650	50650	8	6	4
con63_ROOT6_GAPDH_CY3_6_1_ch2_outline.txt	Cell_CP_50	76083.5	76083.5	29	13	13
con63_ROOT6_GAPDH_CY3_6_1_ch2_outline.txt	Cell_CP_51	44271.5	44271.5	6	2	2
con63_ROOT6_GAPDH_CY3_6_1_ch2_outline.txt	Cell_CP_52	20040	20040	19	9	9
con63_ROOT6_GAPDH_CY3_6_1_ch2_outline.txt	Cell_CP_53	30919.5	30919.5	9	8	8
con63_ROOT6_GAPDH_CY3_6_1_ch2_outline.txt	Cell_CP_54	45849	45849	60	35	35
con63_ROOT6_GAPDH_CY3_6_1_ch2_outline.txt	Cell_CP_55	51125	51125	16	6	6
