FILE	CELL	AREA_cell	AREA_nuc	N_total	N_thres_Total	N_thres_Nuc
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_1	78415	0	36	9	9
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_2	87477.5	0	22	11	11
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_3	68786.5	0	14	5	5
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_4	78608	0	20	6	6
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_5	74520.5	0	12	2	2
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_6	44522.5	0	19	8	8
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_7	64293.5	0	11	5	5
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_8	34611	0	19	9	9
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_9	24946	0	8	3	3
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_10	42415.5	0	8	3	3
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_11	18416.5	0	16	8	8
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_12	18596	0	5	3	3
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_13	16686.5	0	7	2	2
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_14	70776.5	0	18	8	8
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_15	15951.5	0	9	3	3
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_16	6404	0	4	4	4
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_17	20637.5	0	6	3	3
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_18	4946	0	2	1	1
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_19	4870	0	2	2	2
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_20	50467	0	19	9	9
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_21	7444.5	0	6	2	2
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_22	10718	0	24	2	2
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_23	11166.5	0	4	2	2
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_24	27007.5	0	9	4	4
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_25	2467.5	0	1	0	0
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_26	8814.5	0	2	1	1
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_27	5622	0	1	1	1
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_28	8545.5	0	5	4	4
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_29	16373	0	9	6	6
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_30	3716.5	0	0	0	0
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_31	15789.5	0	6	3	3
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_32	64384.5	0	10	4	4
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_33	5928	0	3	0	0
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_34	13101	0	5	2	2
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_35	15254.5	0	4	2	2
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_36	5985	0	0	0	0
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_37	2349	0	1	0	0
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_38	6040.5	0	5	3	3
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_39	13676.5	0	2	1	1
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_40	18119.5	0	4	2	2
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_41	92044	0	20	10	10
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_42	12339.5	0	1	0	0
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_43	35824	0	8	5	5
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_44	13659.5	0	4	3	3
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_45	20500	0	8	1	1
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_46	13437.5	0	5	5	5
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_47	7627	0	3	1	1
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_48	10710.5	0	3	2	2
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_49	6965	0	7	4	4
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_50	10203	0	9	3	3
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_51	5134.5	0	5	3	3
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_52	21298	0	11	6	6
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_53	4232.5	0	0	0	0
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_54	8598	0	5	0	0
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_55	5211	0	3	2	2
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_56	17539.5	0	6	4	4
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_57	10920.5	0	3	2	2
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_58	7077.5	0	1	1	1
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_59	13210.5	0	1	0	0
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_60	7892.5	0	0	0	0
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_61	58525	0	18	9	9
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_62	19256.5	0	10	4	4
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_63	25894	0	8	3	3
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_64	15434	0	4	4	4
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_65	18777	0	3	0	0
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_66	62451	0	20	10	10
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_67	19666	0	5	2	2
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_68	71526	0	14	4	4
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_69	67317	0	19	6	6
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_70	62225	0	28	9	9
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_71	30094.5	0	10	3	3
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_72	67697.5	0	14	5	5
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_73	59876.5	0	22	6	6
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_74	43648.5	0	12	6	6
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_75	93811.5	0	18	4	4
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_76	56943	0	26	8	8
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_77	81008.5	0	31	12	12
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_78	57988.5	0	17	6	6
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_79	55510.5	0	10	2	2
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_80	75375.5	0	14	6	6
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_81	82727	0	23	6	6
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_82	66630.5	0	29	11	11
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_83	72598	0	16	0	0
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_84	41713	0	16	8	8
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_85	34501	0	21	9	9
ROOT12_pp2a_GAPDH_2CON_1_PP2A_2sr_ch3_scaled_outline.txt	Cell_CP_86	68364.5	0	21	9	9
