FISH-QUANT	
RESULTS OF SPOT DETECTION PERFORMED IN BATCH MODE ON 03-May-2023 
COMMENT	Batch detection
ANALYSIS-SETTINGS 	_FQ_batch_settings_MATURE_230503.txt
FILE	CELL	AREA_cell	AREA_nuc	N_total	N_thres_Total	N_thres_Nuc
root5_con_sr_asSOFL1_2_aligned_ch1_outline.txt	Cell_CP_1	38788.5	38788.5	2	0	0
root5_con_sr_asSOFL1_2_aligned_ch1_outline.txt	Cell_CP_2	38637.5	38637.5	1	0	0
root5_con_sr_asSOFL1_2_aligned_ch1_outline.txt	Cell_CP_3	20273.5	20273.5	2	0	0
root5_con_sr_asSOFL1_2_aligned_ch1_outline.txt	Cell_CP_4	31104	31104	2	0	0
root5_con_sr_asSOFL1_2_aligned_ch1_outline.txt	Cell_CP_5	13982.5	13982.5	2	2	2
root5_con_sr_asSOFL1_2_aligned_ch1_outline.txt	Cell_CP_6	18446	18446	1	0	0
root5_con_sr_asSOFL1_2_aligned_ch1_outline.txt	Cell_CP_7	20779.5	20779.5	1	0	0
root5_con_sr_asSOFL1_2_aligned_ch1_outline.txt	Cell_CP_8	6475	6475	1	1	1
root5_con_sr_asSOFL1_2_aligned_ch1_outline.txt	Cell_CP_9	7910	7910	2	0	0
root5_con_sr_asSOFL1_2_aligned_ch1_outline.txt	Cell_CP_10	6168	6168	1	0	0
root5_con_sr_asSOFL1_2_aligned_ch1_outline.txt	Cell_CP_11	6088	6088	0	0	0
root5_con_sr_asSOFL1_2_aligned_ch1_outline.txt	Cell_CP_12	17289.5	17289.5	2	0	0
root5_con_sr_asSOFL1_2_aligned_ch1_outline.txt	Cell_CP_13	18714	18714	1	0	0
root5_con_sr_asSOFL1_2_aligned_ch1_outline.txt	Cell_CP_14	3877	3877	0	0	0
root5_con_sr_asSOFL1_2_aligned_ch1_outline.txt	Cell_CP_15	10206.5	10206.5	0	0	0
root5_con_sr_asSOFL1_2_aligned_ch1_outline.txt	Cell_CP_16	6654	6654	3	0	0
root5_con_sr_asSOFL1_2_aligned_ch1_outline.txt	Cell_CP_17	9855	9855	0	0	0
root5_con_sr_asSOFL1_2_aligned_ch1_outline.txt	Cell_CP_18	5441.5	5441.5	1	0	0
root5_con_sr_asSOFL1_2_aligned_ch1_outline.txt	Cell_CP_19	25381.5	25381.5	5	1	1
root5_con_sr_asSOFL1_2_aligned_ch1_outline.txt	Cell_CP_20	4225	4225	1	0	0
root5_con_sr_asSOFL1_2_aligned_ch1_outline.txt	Cell_CP_21	5515.5	5515.5	0	0	0
root5_con_sr_asSOFL1_2_aligned_ch1_outline.txt	Cell_CP_22	4544	4544	0	0	0
root5_con_sr_asSOFL1_2_aligned_ch1_outline.txt	Cell_CP_23	25983	25983	2	0	0
root5_con_sr_asSOFL1_2_aligned_ch1_outline.txt	Cell_CP_24	6759	6759	0	0	0
root5_con_sr_asSOFL1_2_aligned_ch1_outline.txt	Cell_CP_25	9825.5	9825.5	2	1	1
root5_con_sr_asSOFL1_2_aligned_ch1_outline.txt	Cell_CP_26	13101	13101	1	0	0
root5_con_sr_asSOFL1_2_aligned_ch1_outline.txt	Cell_CP_27	7268.5	7268.5	1	0	0
root5_con_sr_asSOFL1_2_aligned_ch1_outline.txt	Cell_CP_28	14876	14876	0	0	0
root5_con_sr_asSOFL1_2_aligned_ch1_outline.txt	Cell_CP_29	13999	13999	3	1	1
root5_con_sr_asSOFL1_2_aligned_ch1_outline.txt	Cell_CP_30	12717.5	12717.5	0	0	0
root5_con_sr_asSOFL1_2_aligned_ch1_outline.txt	Cell_CP_31	6393.5	6393.5	0	0	0
root5_con_sr_asSOFL1_2_aligned_ch1_outline.txt	Cell_CP_32	7576	7576	1	1	1
root5_con_sr_asSOFL1_2_aligned_ch1_outline.txt	Cell_CP_33	9897.5	9897.5	2	1	1
root5_con_sr_asSOFL1_2_aligned_ch1_outline.txt	Cell_CP_34	3998.5	3998.5	0	0	0
