Cell_number	n_transcripts	Prot_intensity
1	7.0	3782.7516837809235
2	8.0	2201.0035999827087
3	5.0	3648.1754261292517
4	2.0	2847.291409915313
5	3.0	1881.2761369422078
6	7.0	3285.1112590543926
7	3.0	1302.0604687388986
8	1.0	903.6955873053521
9	5.0	3298.13218700327
10	6.0	2761.3824506346136
11	19.0	932.3163878917694
12	5.0	921.5154448281974
13	4.0	1405.270841151476
14	4.0	2609.2322415020317
15	6.0	406.97906439751387
16	8.0	407.15852661803365
17	8.0	94.88202516548336
18	2.0	902.725163705647
19	4.0	913.9780686087906
20	4.0	1357.806554613635
21	7.0	3092.1035988572985
22	1.0	186.4074513912201
23	1.0	21.023598540574312
24	1.0	285.88234914653003
25	2.0	24.400134773924947
26	2.0	48.65404194779694
27	4.0	3061.1165961865336
28	2.0	132.9345293994993
29	4.0	81.78132810071111
30	2.0	396.77633585222065
31	2.0	5.676305403932929
32	1.0	255.5466924495995
33	5.0	300.38551183231175
34	2.0	745.5965341068804
35	1.0	230.3090682234615
36	1.0	36.802927350625396
37	8.0	67.630444990471
38	4.0	2454.9218963887542
39	3.0	79.65437196940184
40	2.0	168.80691029690206
41	2.0	38.305086774751544
42	3.0	52.76171926409006
43	1.0	2343.0773733649403
44	2.0	4055.77924307622
45	1.0	157.0887319985777
46	2.0	871.6184933930635
47	2.0	147.76337517425418
48	1.0	776.982355888933
49	2.0	153.11399348080158
50	5.0	524.0810885448009
51	3.0	192.72183511033654
52	5.0	781.4689335525036
53	1.0	58.6108374632895
54	2.0	135.80591376125813
55	3.0	339.04285632260144
56	4.0	340.9238753747195
57	4.0	431.771351499483
58	2.0	344.1276113539934
59	2.0	1633.659011432901
60	12.0	3943.329918924719
61	2.0	1139.7872949559242
62	2.0	334.5496686026454
63	2.0	808.4745669160038
64	4.0	2802.1335297599435
65	2.0	574.9551450964063
66	17.0	2129.1990295704454
67	1.0	2706.267818449065
68	9.0	3804.5063835214823
69	4.0	2981.28942438215
70	6.0	3437.3478923607618
