FILE	CELL	AREA_cell	AREA_nuc	N_total	N_thres_Total	N_thres_Nuc
ROOT12_pp2a_GAPDH_5CON_1-1ch1_aligned_outline.txt	Cell_CP_1	14969	14969	1	1	1
ROOT12_pp2a_GAPDH_5CON_1-1ch1_aligned_outline.txt	Cell_CP_2	20366.5	20366.5	30	11	11
ROOT12_pp2a_GAPDH_5CON_1-1ch1_aligned_outline.txt	Cell_CP_3	22540	22540	9	4	4
ROOT12_pp2a_GAPDH_5CON_1-1ch1_aligned_outline.txt	Cell_CP_4	30717.5	30717.5	19	9	9
ROOT12_pp2a_GAPDH_5CON_1-1ch1_aligned_outline.txt	Cell_CP_5	19104.5	19104.5	0	0	0
ROOT12_pp2a_GAPDH_5CON_1-1ch1_aligned_outline.txt	Cell_CP_6	15828	15828	11	7	7
ROOT12_pp2a_GAPDH_5CON_1-1ch1_aligned_outline.txt	Cell_CP_7	26242.5	26242.5	26	8	8
ROOT12_pp2a_GAPDH_5CON_1-1ch1_aligned_outline.txt	Cell_CP_8	28021.5	28021.5	5	4	4
ROOT12_pp2a_GAPDH_5CON_1-1ch1_aligned_outline.txt	Cell_CP_9	59475.5	59475.5	6	6	6
ROOT12_pp2a_GAPDH_5CON_1-1ch1_aligned_outline.txt	Cell_CP_10	8585	8585	3	3	3
ROOT12_pp2a_GAPDH_5CON_1-1ch1_aligned_outline.txt	Cell_CP_11	14888.5	14888.5	0	0	0
ROOT12_pp2a_GAPDH_5CON_1-1ch1_aligned_outline.txt	Cell_CP_12	12405	12405	1	1	1
ROOT12_pp2a_GAPDH_5CON_1-1ch1_aligned_outline.txt	Cell_CP_13	30746	30746	6	5	5
ROOT12_pp2a_GAPDH_5CON_1-1ch1_aligned_outline.txt	Cell_CP_14	23508	23508	11	0	0
ROOT12_pp2a_GAPDH_5CON_1-1ch1_aligned_outline.txt	Cell_CP_15	13003	13003	3	1	1
ROOT12_pp2a_GAPDH_5CON_1-1ch1_aligned_outline.txt	Cell_CP_16	15164.5	15164.5	3	2	2
ROOT12_pp2a_GAPDH_5CON_1-1ch1_aligned_outline.txt	Cell_CP_17	14306	14306	18	11	11
ROOT12_pp2a_GAPDH_5CON_1-1ch1_aligned_outline.txt	Cell_CP_18	11284	11284	1	1	1
ROOT12_pp2a_GAPDH_5CON_1-1ch1_aligned_outline.txt	Cell_CP_19	5654	5654	0	0	0
ROOT12_pp2a_GAPDH_5CON_1-1ch1_aligned_outline.txt	Cell_CP_20	48442.5	48442.5	1	0	0
ROOT12_pp2a_GAPDH_5CON_1-1ch1_aligned_outline.txt	Cell_CP_21	17120	17120	1	1	1
ROOT12_pp2a_GAPDH_5CON_1-1ch1_aligned_outline.txt	Cell_CP_22	30726.5	30726.5	31	12	12
ROOT12_pp2a_GAPDH_5CON_1-1ch1_aligned_outline.txt	Cell_CP_23	7881.5	7881.5	0	0	0
ROOT12_pp2a_GAPDH_5CON_1-1ch1_aligned_outline.txt	Cell_CP_24	8068	8068	0	0	0
ROOT12_pp2a_GAPDH_5CON_1-1ch1_aligned_outline.txt	Cell_CP_25	62078.5	62078.5	5	5	5
ROOT12_pp2a_GAPDH_5CON_1-1ch1_aligned_outline.txt	Cell_CP_26	53758.5	53758.5	5	5	5
ROOT12_pp2a_GAPDH_5CON_1-1ch1_aligned_outline.txt	Cell_CP_27	51648.5	51648.5	6	4	4
ROOT12_pp2a_GAPDH_5CON_1-1ch1_aligned_outline.txt	Cell_CP_28	15466	15466	1	1	1
ROOT12_pp2a_GAPDH_5CON_1-1ch1_aligned_outline.txt	Cell_CP_29	19726.5	19726.5	7	7	7
ROOT12_pp2a_GAPDH_5CON_1-1ch1_aligned_outline.txt	Cell_CP_30	8933.5	8933.5	30	14	14
ROOT12_pp2a_GAPDH_5CON_1-1ch1_aligned_outline.txt	Cell_CP_31	66121	66121	8	7	7
ROOT12_pp2a_GAPDH_5CON_1-1ch1_aligned_outline.txt	Cell_CP_32	3252.5	3252.5	0	0	0
ROOT12_pp2a_GAPDH_5CON_1-1ch1_aligned_outline.txt	Cell_CP_33	48332	48332	6	4	4
ROOT12_pp2a_GAPDH_5CON_1-1ch1_aligned_outline.txt	Cell_CP_34	27992	27992	18	4	4
ROOT12_pp2a_GAPDH_5CON_1-1ch1_aligned_outline.txt	Cell_CP_35	20844	20844	4	1	1
