FILE	CELL	AREA_cell	AREA_nuc	N_total	N_thres_Total	N_thres_Nuc
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_1	8129.5	8129.5	77	7	7
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_2	11164.5	11164.5	66	12	12
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_3	4470.5	4470.5	32	7	6
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_4	8541.5	8541.5	73	20	19
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_5	6969	6969	61	18	17
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_6	10259.5	10259.5	46	15	15
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_7	6833	6833	31	6	6
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_8	9978.5	9978.5	59	16	16
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_9	7090.5	7090.5	36	19	18
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_10	6049	6049	15	0	0
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_11	7701.5	7701.5	29	12	12
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_12	5891	5891	42	6	6
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_13	7032	7032	77	17	17
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_14	5759.5	5759.5	33	11	11
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_15	6677.5	6677.5	35	14	14
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_16	6012	6012	24	10	10
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_17	6309.5	6309.5	29	12	12
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_18	4421	4421	19	4	4
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_19	3278.5	3278.5	20	3	3
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_20	5569.5	5569.5	27	8	7
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_21	4826	4826	30	4	4
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_22	5286.5	5286.5	25	7	7
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_23	4633	4633	44	7	7
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_24	2381	2381	18	3	3
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_25	4425	4425	21	7	7
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_26	6200.5	6200.5	41	5	4
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_27	3240	3240	29	3	3
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_28	6113.5	6113.5	35	9	8
