FILE	CELL	AREA_cell	AREA_nuc	N_total	N_thres_Total	N_thres_Nuc
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_1	9884	9884	1	1	1
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_2	7037	7037	5	1	1
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_3	10090	10090	0	0	0
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_4	5871.5	5871.5	0	0	0
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_5	8719.5	8719.5	9	2	2
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_6	3536.5	3536.5	0	0	0
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_7	11401	11401	4	2	2
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_8	8300.5	8300.5	0	0	0
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_9	9214	9214	6	2	2
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_10	5698	5698	2	2	2
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_11	4355	4355	0	0	0
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_12	3973.5	3973.5	1	1	0
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_13	2369	2369	0	0	0
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_14	7875.5	7875.5	4	2	2
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_15	4991.5	4991.5	5	4	4
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_16	11337.5	11337.5	0	0	0
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_17	6099.5	6099.5	4	1	1
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_18	4016	4016	0	0	0
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_19	12412.5	12412.5	12	5	4
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_20	8884.5	8884.5	5	3	3
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_21	8005	8005	0	0	0
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_22	5278	5278	0	0	0
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_23	7751	7751	7	1	1
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_24	13992	13992	10	5	5
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_25	8068	8068	1	1	1
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_26	9286.5	9286.5	1	1	1
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_27	4006.5	4006.5	8	3	3
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_28	1710	1710	0	0	0
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_29	7294.5	7294.5	0	0	0
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_30	4204.5	4204.5	0	0	0
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_31	14461.5	14461.5	5	4	3
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_32	4649.5	4649.5	0	0	0
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_33	10943	10943	2	2	2
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_34	12018.5	12018.5	8	6	6
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_35	2684	2684	4	1	1
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_36	8147.5	8147.5	1	1	1
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_37	11199	11199	5	5	5
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_38	8085.5	8085.5	4	3	3
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_39	12205	12205	3	3	3
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_40	8378	8378	0	0	0
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_41	8863	8863	1	1	1
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_42	10775.5	10775.5	6	6	6
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_43	16496.5	16496.5	20	10	10
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_44	8093.5	8093.5	0	0	0
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_45	11936.5	11936.5	10	4	4
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_46	6784.5	6784.5	2	2	1
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_47	1841	1841	0	0	0
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_48	17578.5	17578.5	3	3	3
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_49	4385	4385	3	1	1
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_50	1738	1738	0	0	0
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_51	9625.5	9625.5	1	1	1
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_52	10305.5	10305.5	0	0	0
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_53	1639	1639	0	0	0
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_54	2517.5	2517.5	0	0	0
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_55	7965	7965	2	1	1
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_56	5910.5	5910.5	2	2	2
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_57	3690.5	3690.5	4	3	3
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_58	6683.5	6683.5	6	5	5
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_59	8877	8877	11	4	4
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_60	14413	14413	5	4	4
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_61	3468	3468	0	0	0
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_62	4496	4496	0	0	0
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_63	1505	1505	2	1	1
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_64	8846.5	8846.5	14	2	2
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_65	9110.5	9110.5	9	4	2
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_66	20828.5	20828.5	10	7	7
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_67	12773.5	12773.5	8	2	2
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_68	2679.5	2679.5	3	1	1
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_69	9055	9055	0	0	0
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_70	9806	9806	3	0	0
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_71	8968	8968	0	0	0
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_72	22813	22813	7	3	3
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_73	10280.5	10280.5	2	2	2
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_74	6166.5	6166.5	0	0	0
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_75	13697.5	13697.5	0	0	0
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_76	17334.5	17334.5	1	1	1
SAM05_pp2a_con_sam_19-2-Create Image Subset-01_ch2_outline.txt	Cell_CP_77	9401.5	9401.5	3	2	2
