FILE	CELL	AREA_cell	AREA_nuc	N_total	N_thres_Total	N_thres_Nuc
GAPDH_1UL_BARLEYCON4-2_ch2_outline.txt	Cell_CP_1	119054	0	168	45	45
GAPDH_1UL_BARLEYCON4-2_ch2_outline.txt	Cell_CP_2	54379	0	22	13	13
GAPDH_1UL_BARLEYCON4-2_ch2_outline.txt	Cell_CP_3	63310.5	0	33	15	15
GAPDH_1UL_BARLEYCON4-2_ch2_outline.txt	Cell_CP_4	149361	0	276	86	86
GAPDH_1UL_BARLEYCON4-2_ch2_outline.txt	Cell_CP_5	61152.5	0	84	29	29
GAPDH_1UL_BARLEYCON4-2_ch2_outline.txt	Cell_CP_6	41239.5	0	30	13	13
GAPDH_1UL_BARLEYCON4-2_ch2_outline.txt	Cell_CP_7	94933.5	0	132	44	44
GAPDH_1UL_BARLEYCON4-2_ch2_outline.txt	Cell_CP_8	67928.5	0	67	25	25
GAPDH_1UL_BARLEYCON4-2_ch2_outline.txt	Cell_CP_9	44915.5	0	34	8	8
GAPDH_1UL_BARLEYCON4-2_ch2_outline.txt	Cell_CP_10	53077.5	0	48	15	15
GAPDH_1UL_BARLEYCON4-2_ch2_outline.txt	Cell_CP_11	82167.5	0	124	47	47
GAPDH_1UL_BARLEYCON4-2_ch2_outline.txt	Cell_CP_12	87261	0	25	4	4
GAPDH_1UL_BARLEYCON4-2_ch2_outline.txt	Cell_CP_13	61903	0	87	23	23
GAPDH_1UL_BARLEYCON4-2_ch2_outline.txt	Cell_CP_14	148514	0	204	47	47
GAPDH_1UL_BARLEYCON4-2_ch2_outline.txt	Cell_CP_15	58020.5	0	27	17	17
GAPDH_1UL_BARLEYCON4-2_ch2_outline.txt	Cell_CP_16	91522.5	0	106	34	34
GAPDH_1UL_BARLEYCON4-2_ch2_outline.txt	Cell_CP_17	27557.5	0	9	2	2
GAPDH_1UL_BARLEYCON4-2_ch2_outline.txt	Cell_CP_18	74492.5	0	81	23	23
GAPDH_1UL_BARLEYCON4-2_ch2_outline.txt	Cell_CP_19	143408	0	287	76	76
GAPDH_1UL_BARLEYCON4-2_ch2_outline.txt	Cell_CP_20	29652.5	0	50	21	21
GAPDH_1UL_BARLEYCON4-2_ch2_outline.txt	Cell_CP_21	79754	0	87	25	25
GAPDH_1UL_BARLEYCON4-2_ch2_outline.txt	Cell_CP_22	123493	0	124	31	31
GAPDH_1UL_BARLEYCON4-2_ch2_outline.txt	Cell_CP_23	81535	0	63	26	26
GAPDH_1UL_BARLEYCON4-2_ch2_outline.txt	Cell_CP_24	86464.5	0	28	7	7
GAPDH_1UL_BARLEYCON4-2_ch2_outline.txt	Cell_CP_25	68583	0	34	8	8
GAPDH_1UL_BARLEYCON4-2_ch2_outline.txt	Cell_CP_26	55292.5	0	54	17	17
GAPDH_1UL_BARLEYCON4-2_ch2_outline.txt	Cell_CP_27	147236	0	217	55	55
GAPDH_1UL_BARLEYCON4-2_ch2_outline.txt	Cell_CP_28	151688	0	287	70	70
GAPDH_1UL_BARLEYCON4-2_ch2_outline.txt	Cell_CP_29	135062	0	226	48	48
GAPDH_1UL_BARLEYCON4-2_ch2_outline.txt	Cell_CP_30	55969.5	0	68	28	28
GAPDH_1UL_BARLEYCON4-2_ch2_outline.txt	Cell_CP_31	93409.5	0	135	44	44
GAPDH_1UL_BARLEYCON4-2_ch2_outline.txt	Cell_CP_32	75373.5	0	52	20	20
GAPDH_1UL_BARLEYCON4-2_ch2_outline.txt	Cell_CP_33	146482	0	227	65	65
GAPDH_1UL_BARLEYCON4-2_ch2_outline.txt	Cell_CP_34	205208	0	489	111	111
GAPDH_1UL_BARLEYCON4-2_ch2_outline.txt	Cell_CP_35	125309	0	197	33	33
GAPDH_1UL_BARLEYCON4-2_ch2_outline.txt	Cell_CP_36	167950	0	93	36	36
GAPDH_1UL_BARLEYCON4-2_ch2_outline.txt	Cell_CP_37	61979.5	0	121	28	28
GAPDH_1UL_BARLEYCON4-2_ch2_outline.txt	Cell_CP_38	49349	0	109	32	32
GAPDH_1UL_BARLEYCON4-2_ch2_outline.txt	Cell_CP_39	91390	0	100	20	20
GAPDH_1UL_BARLEYCON4-2_ch2_outline.txt	Cell_CP_40	32608	0	28	13	13
GAPDH_1UL_BARLEYCON4-2_ch2_outline.txt	Cell_CP_41	45980.5	0	39	10	10
GAPDH_1UL_BARLEYCON4-2_ch2_outline.txt	Cell_CP_42	94039.5	0	86	26	26
GAPDH_1UL_BARLEYCON4-2_ch2_outline.txt	Cell_CP_43	81696	0	88	18	18
GAPDH_1UL_BARLEYCON4-2_ch2_outline.txt	Cell_CP_44	8799.5	0	12	5	5
GAPDH_1UL_BARLEYCON4-2_ch2_outline.txt	Cell_CP_45	32404.5	0	53	13	13
GAPDH_1UL_BARLEYCON4-2_ch2_outline.txt	Cell_CP_46	40962	0	18	2	2
GAPDH_1UL_BARLEYCON4-2_ch2_outline.txt	Cell_CP_47	21105.5	0	20	9	9
GAPDH_1UL_BARLEYCON4-2_ch2_outline.txt	Cell_CP_48	47268.5	0	52	14	14
GAPDH_1UL_BARLEYCON4-2_ch2_outline.txt	Cell_CP_49	44769.5	0	63	19	19
GAPDH_1UL_BARLEYCON4-2_ch2_outline.txt	Cell_CP_50	67349	0	74	23	23
GAPDH_1UL_BARLEYCON4-2_ch2_outline.txt	Cell_CP_51	36029	0	28	9	9
