FILE	CELL	AREA_cell	AREA_nuc	N_total	N_thres_Total	N_thres_Nuc
leavesCONAPDH_1UL_BARLEY_ 2_ch2_outline.txt	Cell_CP_1	50058	50058	29	6	6
leavesCONAPDH_1UL_BARLEY_ 2_ch2_outline.txt	Cell_CP_2	25072	25072	16	1	1
leavesCONAPDH_1UL_BARLEY_ 2_ch2_outline.txt	Cell_CP_3	32181	32181	23	5	5
leavesCONAPDH_1UL_BARLEY_ 2_ch2_outline.txt	Cell_CP_4	26054.5	26054.5	10	2	2
leavesCONAPDH_1UL_BARLEY_ 2_ch2_outline.txt	Cell_CP_5	41244.5	41244.5	23	2	2
leavesCONAPDH_1UL_BARLEY_ 2_ch2_outline.txt	Cell_CP_6	31115	31115	47	9	9
leavesCONAPDH_1UL_BARLEY_ 2_ch2_outline.txt	Cell_CP_7	31766.5	31766.5	1	0	0
leavesCONAPDH_1UL_BARLEY_ 2_ch2_outline.txt	Cell_CP_8	60595	60595	2	0	0
leavesCONAPDH_1UL_BARLEY_ 2_ch2_outline.txt	Cell_CP_9	42230.5	42230.5	33	6	6
leavesCONAPDH_1UL_BARLEY_ 2_ch2_outline.txt	Cell_CP_10	47211	47211	1	1	1
leavesCONAPDH_1UL_BARLEY_ 2_ch2_outline.txt	Cell_CP_11	40088	40088	10	1	1
leavesCONAPDH_1UL_BARLEY_ 2_ch2_outline.txt	Cell_CP_12	44041	44041	27	7	7
leavesCONAPDH_1UL_BARLEY_ 2_ch2_outline.txt	Cell_CP_13	51406	51406	0	0	0
leavesCONAPDH_1UL_BARLEY_ 2_ch2_outline.txt	Cell_CP_14	40826	40826	6	0	0
leavesCONAPDH_1UL_BARLEY_ 2_ch2_outline.txt	Cell_CP_15	56041	56041	27	6	6
leavesCONAPDH_1UL_BARLEY_ 2_ch2_outline.txt	Cell_CP_16	31220.5	31220.5	63	14	14
leavesCONAPDH_1UL_BARLEY_ 2_ch2_outline.txt	Cell_CP_17	56190.5	56190.5	0	0	0
leavesCONAPDH_1UL_BARLEY_ 2_ch2_outline.txt	Cell_CP_18	27064.5	27064.5	17	5	5
leavesCONAPDH_1UL_BARLEY_ 2_ch2_outline.txt	Cell_CP_19	83133	83133	2	0	0
leavesCONAPDH_1UL_BARLEY_ 2_ch2_outline.txt	Cell_CP_20	34709	34709	39	12	12
leavesCONAPDH_1UL_BARLEY_ 2_ch2_outline.txt	Cell_CP_21	28784	28784	4	0	0
leavesCONAPDH_1UL_BARLEY_ 2_ch2_outline.txt	Cell_CP_22	35781	35781	1	0	0
leavesCONAPDH_1UL_BARLEY_ 2_ch2_outline.txt	Cell_CP_23	75304	75304	0	0	0
leavesCONAPDH_1UL_BARLEY_ 2_ch2_outline.txt	Cell_CP_24	34572.5	34572.5	29	6	6
leavesCONAPDH_1UL_BARLEY_ 2_ch2_outline.txt	Cell_CP_25	39948	39948	4	0	0
leavesCONAPDH_1UL_BARLEY_ 2_ch2_outline.txt	Cell_CP_26	24803	24803	47	7	7
leavesCONAPDH_1UL_BARLEY_ 2_ch2_outline.txt	Cell_CP_27	77410.5	77410.5	0	0	0
leavesCONAPDH_1UL_BARLEY_ 2_ch2_outline.txt	Cell_CP_28	29316	29316	8	3	3
leavesCONAPDH_1UL_BARLEY_ 2_ch2_outline.txt	Cell_CP_29	56184.5	56184.5	0	0	0
leavesCONAPDH_1UL_BARLEY_ 2_ch2_outline.txt	Cell_CP_30	19147.5	19147.5	8	2	2
leavesCONAPDH_1UL_BARLEY_ 2_ch2_outline.txt	Cell_CP_31	28951.5	28951.5	41	11	11
leavesCONAPDH_1UL_BARLEY_ 2_ch2_outline.txt	Cell_CP_32	54684.5	54684.5	1	0	0
leavesCONAPDH_1UL_BARLEY_ 2_ch2_outline.txt	Cell_CP_33	78373.5	78373.5	1	0	0
leavesCONAPDH_1UL_BARLEY_ 2_ch2_outline.txt	Cell_CP_34	52727.5	52727.5	38	3	3
leavesCONAPDH_1UL_BARLEY_ 2_ch2_outline.txt	Cell_CP_35	73660	73660	1	0	0
leavesCONAPDH_1UL_BARLEY_ 2_ch2_outline.txt	Cell_CP_36	45296.5	45296.5	48	10	10
leavesCONAPDH_1UL_BARLEY_ 2_ch2_outline.txt	Cell_CP_37	45026.5	45026.5	23	6	6
leavesCONAPDH_1UL_BARLEY_ 2_ch2_outline.txt	Cell_CP_38	41839.5	41839.5	0	0	0
leavesCONAPDH_1UL_BARLEY_ 2_ch2_outline.txt	Cell_CP_39	77322.5	77322.5	4	0	0
leavesCONAPDH_1UL_BARLEY_ 2_ch2_outline.txt	Cell_CP_40	83229.5	83229.5	4	0	0
leavesCONAPDH_1UL_BARLEY_ 2_ch2_outline.txt	Cell_CP_41	34708	34708	19	6	6
leavesCONAPDH_1UL_BARLEY_ 2_ch2_outline.txt	Cell_CP_42	68621.5	68621.5	34	5	5
leavesCONAPDH_1UL_BARLEY_ 2_ch2_outline.txt	Cell_CP_43	25008.5	25008.5	0	0	0
leavesCONAPDH_1UL_BARLEY_ 2_ch2_outline.txt	Cell_CP_44	42683	42683	7	1	1
leavesCONAPDH_1UL_BARLEY_ 2_ch2_outline.txt	Cell_CP_45	12257	12257	11	5	5
leavesCONAPDH_1UL_BARLEY_ 2_ch2_outline.txt	Cell_CP_46	56332.5	56332.5	0	0	0
leavesCONAPDH_1UL_BARLEY_ 2_ch2_outline.txt	Cell_CP_47	31003.5	31003.5	0	0	0
leavesCONAPDH_1UL_BARLEY_ 2_ch2_outline.txt	Cell_CP_48	17402.5	17402.5	14	3	3
leavesCONAPDH_1UL_BARLEY_ 2_ch2_outline.txt	Cell_CP_49	18386	18386	0	0	0
leavesCONAPDH_1UL_BARLEY_ 2_ch2_outline.txt	Cell_CP_50	18154.5	18154.5	4	1	1
leavesCONAPDH_1UL_BARLEY_ 2_ch2_outline.txt	Cell_CP_51	28302	28302	16	6	6
