FILE	CELL	AREA_cell	AREA_nuc	N_total	N_thres_Total	N_thres_Nuc
sr_Rroot4_TRANSVERSE_con2l__outline.txt	Cell_CP_1	4346	4346	1	0	0
sr_Rroot4_TRANSVERSE_con2l__outline.txt	Cell_CP_2	7621	7621	4	2	2
sr_Rroot4_TRANSVERSE_con2l__outline.txt	Cell_CP_3	13507	13507	10	6	6
sr_Rroot4_TRANSVERSE_con2l__outline.txt	Cell_CP_4	4042	4042	4	2	2
sr_Rroot4_TRANSVERSE_con2l__outline.txt	Cell_CP_5	18390	18390	21	15	15
sr_Rroot4_TRANSVERSE_con2l__outline.txt	Cell_CP_6	5343	5343	2	1	1
sr_Rroot4_TRANSVERSE_con2l__outline.txt	Cell_CP_7	3710	3710	3	2	2
sr_Rroot4_TRANSVERSE_con2l__outline.txt	Cell_CP_8	12612	12612	17	11	11
sr_Rroot4_TRANSVERSE_con2l__outline.txt	Cell_CP_9	4312	4312	2	1	1
sr_Rroot4_TRANSVERSE_con2l__outline.txt	Cell_CP_10	13901.5	13901.5	13	10	10
sr_Rroot4_TRANSVERSE_con2l__outline.txt	Cell_CP_11	2511	2511	2	0	0
sr_Rroot4_TRANSVERSE_con2l__outline.txt	Cell_CP_12	6174.5	6174.5	9	1	0
sr_Rroot4_TRANSVERSE_con2l__outline.txt	Cell_CP_13	15586.5	15586.5	38	29	28
sr_Rroot4_TRANSVERSE_con2l__outline.txt	Cell_CP_14	17295	17295	17	12	12
sr_Rroot4_TRANSVERSE_con2l__outline.txt	Cell_CP_15	4731.5	4731.5	2	1	1
sr_Rroot4_TRANSVERSE_con2l__outline.txt	Cell_CP_16	3845.5	3845.5	4	1	1
sr_Rroot4_TRANSVERSE_con2l__outline.txt	Cell_CP_17	4048.5	4048.5	0	0	0
sr_Rroot4_TRANSVERSE_con2l__outline.txt	Cell_CP_18	11107	11107	22	14	14
sr_Rroot4_TRANSVERSE_con2l__outline.txt	Cell_CP_19	7370	7370	6	5	5
sr_Rroot4_TRANSVERSE_con2l__outline.txt	Cell_CP_20	3947	3947	3	3	3
sr_Rroot4_TRANSVERSE_con2l__outline.txt	Cell_CP_21	8815	8815	32	25	25
sr_Rroot4_TRANSVERSE_con2l__outline.txt	Cell_CP_22	6393	6393	31	17	17
sr_Rroot4_TRANSVERSE_con2l__outline.txt	Cell_CP_23	11760.5	11760.5	22	16	16
