FILE	CELL	AREA_cell	AREA_nuc	N_total	N_thres_Total	N_thres_Nuc
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_1	20927	0	2	1	1
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_2	76671	14802	15	6	1
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_3	47855.5	6032.5	1	1	0
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_4	10898	0	0	0	0
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_5	29076.5	0	7	2	2
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_6	44704.5	9181.5	5	4	1
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_7	64134	14038	10	6	1
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_8	86711	9786.5	25	15	3
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_9	60106	14099.5	5	5	2
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_10	102386	14916.5	10	9	3
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_11	28185	11739.5	6	6	1
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_12	52977	0	5	5	5
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_13	76011	13290	10	6	0
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_14	25033.5	4272	5	5	1
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_15	29177	6268.5	5	4	0
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_16	39535	7000.5	11	8	0
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_17	47673.5	8534.5	18	11	3
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_18	47459	6560	4	4	0
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_19	16973.5	0	9	7	7
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_20	24880	5820	10	3	2
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_21	86262.5	14785.5	11	6	0
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_22	16340	2509.5	1	1	0
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_23	75701	9461.5	8	6	0
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_24	9726.5	0	3	2	2
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_25	26186.5	6901.5	5	2	0
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_26	18067.5	5865.5	7	6	3
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_27	46435.5	8568.5	10	10	1
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_28	31107.5	0	2	1	1
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_29	7191.5	0	5	1	1
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_30	8533.5	2357.5	4	4	3
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_31	16187	2245.5	1	1	1
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_32	19363	6585.5	12	9	1
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_33	30934	17942	7	6	3
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_34	6272.5	0	4	3	3
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_35	17483.5	4131.5	6	5	1
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_36	63002	7712	2	1	0
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_37	5855.5	0	0	0	0
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_38	8871.5	0	3	3	3
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_39	17376	10549.5	13	5	1
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_40	41879.5	6908	0	0	0
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_41	24692.5	2869	7	7	0
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_42	8953.5	0	1	1	1
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_43	90793	16712	12	5	0
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_44	20829	7943	8	6	4
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_45	6532	0	2	2	2
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_46	17078	3274	6	5	1
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_47	20053.5	8200	13	12	7
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_48	4993.5	0	1	1	1
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_49	28544	9252	4	4	2
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_50	7616	3082.5	1	1	1
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_51	8725.5	3700	4	3	2
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_52	67964.5	14048	7	4	1
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_53	57699.5	2111.5	7	4	0
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_54	23674	8747	7	7	2
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_55	17698.5	3961	7	1	0
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_56	26510.5	3883.5	6	5	0
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_57	26516	7814.5	6	4	2
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_58	36588	7331.5	4	1	0
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_59	102690	18707.5	8	5	1
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_60	19168.5	7312	1	1	0
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_61	63831	7485.5	6	5	0
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_62	76894.5	16243.5	7	7	5
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_63	38649.5	14338	12	11	3
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_64	30565.5	5721	2	1	0
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_65	63259	7300.5	8	8	0
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_66	14364	3856.5	3	0	0
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_67	40352	0	5	4	4
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_68	109726	21381.5	18	13	1
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_69	50647	11478	1	1	0
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_70	49350.5	10211	4	4	2
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_71	42343	11781	6	5	2
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_72	51329.5	0	0	0	0
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_73	20595	0	1	1	1
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_74	5297.5	0	3	1	1
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_75	9404	1270	8	6	1
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_76	89700.5	16409.5	17	8	1
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_77	65415	12704.5	6	4	0
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_78	41528	3256.5	14	10	0
root13_con_nrt1.9_PP2A_2-4_ch3_outline.txt	Cell_CP_79	55069.5	773	10	8	0
root13_CON_nrt1.9_PP2A_5-2_ch3_outline.txt	Cell_CP_1	81280.5	29339.5	20	18	3
root13_CON_nrt1.9_PP2A_5-2_ch3_outline.txt	Cell_CP_2	78091.5	27464.5	18	12	1
root13_CON_nrt1.9_PP2A_5-2_ch3_outline.txt	Cell_CP_3	59175	24462	9	6	0
root13_CON_nrt1.9_PP2A_5-2_ch3_outline.txt	Cell_CP_4	104750	25193.5	23	15	2
root13_CON_nrt1.9_PP2A_5-2_ch3_outline.txt	Cell_CP_5	47311	18058	12	8	3
root13_CON_nrt1.9_PP2A_5-2_ch3_outline.txt	Cell_CP_6	73256.5	17306	15	9	2
root13_CON_nrt1.9_PP2A_5-2_ch3_outline.txt	Cell_CP_7	24059.5	0	9	5	5
root13_CON_nrt1.9_PP2A_5-2_ch3_outline.txt	Cell_CP_8	40958	11272	10	4	1
root13_CON_nrt1.9_PP2A_5-2_ch3_outline.txt	Cell_CP_9	79393.5	0	5	4	4
root13_CON_nrt1.9_PP2A_5-2_ch3_outline.txt	Cell_CP_10	22630	5520	5	5	1
root13_CON_nrt1.9_PP2A_5-2_ch3_outline.txt	Cell_CP_11	64050.5	6389	19	14	0
