FILE	CELL	AREA_cell	AREA_nuc	N_total	N_thres_Total	N_thres_Nuc
root13_con_nrt1-aligned_ch3_outline.txt	Cell_CP_1	70820	0	7	7	7
root13_con_nrt1-aligned_ch3_outline.txt	Cell_CP_2	55539.5	0	10	9	9
root13_con_nrt1-aligned_ch3_outline.txt	Cell_CP_3	57662.5	0	6	5	5
root13_con_nrt1-aligned_ch3_outline.txt	Cell_CP_4	42613	0	3	3	3
root13_con_nrt1-aligned_ch3_outline.txt	Cell_CP_5	92755.5	0	7	7	7
root13_con_nrt1-aligned_ch3_outline.txt	Cell_CP_6	68765	0	3	3	3
root13_con_nrt1-aligned_ch3_outline.txt	Cell_CP_7	74294	0	1	1	1
root13_con_nrt1-aligned_ch3_outline.txt	Cell_CP_8	94003	0	5	5	5
root13_con_nrt1-aligned_ch3_outline.txt	Cell_CP_9	63958.5	0	7	6	6
root13_con_nrt1-aligned_ch3_outline.txt	Cell_CP_10	48670.5	0	20	20	20
root13_con_nrt1-aligned_ch3_outline.txt	Cell_CP_11	26993	0	5	5	5
root13_con_nrt1-aligned_ch3_outline.txt	Cell_CP_12	77136.5	0	5	5	5
root13_con_nrt1-aligned_ch3_outline.txt	Cell_CP_13	18418	0	9	9	9
root13_con_nrt1-aligned_ch3_outline.txt	Cell_CP_14	16894.5	0	10	9	9
root13_con_nrt1-aligned_ch3_outline.txt	Cell_CP_15	14938.5	0	12	9	9
root13_con_nrt1-aligned_ch3_outline.txt	Cell_CP_16	34969	0	2	2	2
root13_con_nrt1-aligned_ch3_outline.txt	Cell_CP_17	74269	0	4	4	4
root13_con_nrt1-aligned_ch3_outline.txt	Cell_CP_18	95318.5	0	8	7	7
root13_con_nrt1-aligned_ch3_outline.txt	Cell_CP_19	16794	0	1	1	1
root13_con_nrt1-aligned_ch3_outline.txt	Cell_CP_20	14068	0	0	0	0
root13_con_nrt1-aligned_ch3_outline.txt	Cell_CP_21	9695.5	0	1	1	1
root13_con_nrt1-aligned_ch3_outline.txt	Cell_CP_22	11057	0	2	2	2
root13_con_nrt1-aligned_ch3_outline.txt	Cell_CP_23	62222.5	0	4	4	4
root13_con_nrt1-aligned_ch3_outline.txt	Cell_CP_24	17251	0	4	4	4
root13_con_nrt1-aligned_ch3_outline.txt	Cell_CP_25	19016	0	1	1	1
root13_con_nrt1-aligned_ch3_outline.txt	Cell_CP_26	5978	0	5	5	5
root13_con_nrt1-aligned_ch3_outline.txt	Cell_CP_27	76073	0	4	4	4
root13_con_nrt1-aligned_ch3_outline.txt	Cell_CP_28	12799.5	0	5	3	3
root13_con_nrt1-aligned_ch3_outline.txt	Cell_CP_29	83537	0	1	1	1
root13_con_nrt1-aligned_ch3_outline.txt	Cell_CP_30	96571.5	0	2	2	2
root13_con_nrt1-aligned_ch3_outline.txt	Cell_CP_31	38208	0	1	1	1
root13_con_nrt1-aligned_ch3_outline.txt	Cell_CP_32	3895	0	0	0	0
root13_con_nrt1-aligned_ch3_outline.txt	Cell_CP_33	26685	0	1	1	1
root13_con_nrt1-aligned_ch3_outline.txt	Cell_CP_34	16359	0	3	3	3
root13_con_nrt1-aligned_ch3_outline.txt	Cell_CP_35	71149	0	5	5	5
root13_con_nrt1-aligned_ch3_outline.txt	Cell_CP_36	48909.5	0	2	2	2
root13_con_nrt1-aligned_ch3_outline.txt	Cell_CP_37	110822	0	12	12	12
root13_con_nrt1-aligned_ch3_outline.txt	Cell_CP_38	50333.5	0	2	2	2
root13_con_nrt1-aligned_ch3_outline.txt	Cell_CP_39	74831.5	0	0	0	0
