FILE	CELL	AREA_cell	AREA_nuc	N_total	N_thres_Total	N_thres_Nuc
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_1	73715	17603	2	1	1
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_2	92430.5	12401.5	1	1	0
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_3	75210.5	11379	1	1	1
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_4	89013.5	12903.5	0	0	0
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_5	50051.5	17045.5	0	0	0
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_6	32584	5646	0	0	0
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_7	94208	9869.5	0	0	0
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_8	20013.5	5644	0	0	0
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_9	14175.5	5604	0	0	0
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_10	24822.5	8397.5	2	2	2
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_11	14438.5	4511	1	1	1
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_12	67363.5	9982	2	2	2
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_13	22802.5	6284	0	0	0
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_14	14203	3158.5	1	0	0
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_15	8105.5	3737	0	0	0
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_16	17342.5	2930.5	0	0	0
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_17	9787	997.5	0	0	0
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_18	9170.5	0	0	0	0
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_19	74040.5	10111	2	2	2
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_20	65828.5	8610.5	2	1	1
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_21	10020.5	0	0	0	0
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_22	21560.5	6632.5	0	0	0
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_23	5134	2489	0	0	0
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_24	22082	5372	0	0	0
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_25	67785	11106.5	1	1	1
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_26	58618.5	4832	0	0	0
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_27	7080	3334.5	0	0	0
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_28	24935	4608.5	0	0	0
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_29	8561.5	0	0	0	0
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_30	7946.5	2120.5	0	0	0
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_31	5235.5	2727	1	1	1
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_32	17140.5	4539	1	1	0
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_33	11322.5	4212.5	0	0	0
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_34	5942	519	0	0	0
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_35	3410.5	0	0	0	0
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_36	5090.5	1059.5	0	0	0
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_37	7266	0	0	0	0
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_38	13479.5	3788	0	0	0
