target_id	length	eff_length	est_counts	tpm
ATMG00560.1	1050	889.134	2.15017	0.110649
ATMG00480.1	477	316.307	3	0.433964
ATMG00980.1	378	217.93	0.5	0.104977
ATMG00180.1	1359	1198.13	0	0
ATMG01320.1	1467	1306.13	1.58897	0.0556634
ATMG01270.1	447	286.339	0	0
ATMG00070.1	573	412.134	1	0.111021
ATMG00640.1	579	418.134	6	0.656564
ATMG00735.1	798	637.134	0	0
ATMG01190.1	1524	1363.13	17.9527	0.602606
ATMG00080.1	540	379.134	7	0.844786
ATMG00665.1	2010	1849.13	3.13809	0.0776495
ATMG00830.1	1149	988.134	0	0
ATMG00520.1	1971	1810.13	5.96954	0.150894
ATMG00990.1	357	197.363	3.5	0.811419
ATMG01170.1	1050	889.134	3.4056	0.175254
ATMG00090.1	1671	1510.13	12	0.363586
ATMG00270.1	618	457.134	0.21432	0.0214516
ATMG00960.1	612	451.134	0	0
ATMG00570.1	843	682.134	1	0.0670767
ATMG00580.1	1488	1327.13	3.90763	0.134723
ATMG00110.1	621	460.134	0	0
ATMG00210.1	558	397.134	0.561108	0.0646474
ATMG01360.1	1584	1423.13	12	0.385813
ATMG00650.1	303	145.002	2	0.631099
ATMG00220.1	1182	1021.13	1.03635	0.0464373
ATMG00900.1	771	610.134	0	0
ATMG00160.1	783	622.134	6	0.441275
ATMG01275.1	978	817.134	9	0.503954
ATMG00290.1	1089	928.134	7.92886e-06	3.90878e-07
ATMG00510.1	1185	1024.13	6.54857	0.292571
ATMG00410.1	1158	997.134	0	0
ATMG01080.1	225	75.7827	0	0
AT1G31380.1	528	367.134	0	0
AT1G62780.1	1047	886.134	69	3.5628
AT1G03340.1	1507	1346.13	42	1.42759
AT1G68050.1	2168	2007.13	113	2.57599
AT1G72030.1	933	772.134	20	1.18517
AT1G04440.1	2407	2246.13	3115	63.4548
AT1G31390.1	816	655.134	0	0
AT1G06850.1	1430	1269.13	362.868	13.0822
AT1G03360.1	1325	1164.13	811	31.8757
